s1_t;s1_v;s1_data;s2_t;s2_v;s2_data;s3_t;s3_v;s3_data;s4_t;s4_v;s4_data;DT_RowId;id;unique_id;monster;originID;monster_n;originName;ancient;efficiency;set;slot;grade;level;m_t;m_v;i_t;i_v;locked;sub_res;sub_cdmg;sub_atkf;sub_acc;sub_atkp;sub_defp;sub_deff;sub_hpp;sub_hpf;sub_spd;sub_crate;quality;max_efficiency
"DEF%";7;{"enchanted":false,"gvalue":0};"SPD";22;{"enchanted":false,"gvalue":0};"HP%";8;{"enchanted":false,"gvalue":0};"CRate";6;{"enchanted":false,"gvalue":0};"row_16";16;72775748078;0;0;"Inventory";"Inventory";false;82.44;"Energy";3;6;12;"DEF flat";118;"";0;0;"-";"-";"-";"-";"-";7;"-";8;"-";22;6;"Hero";82.44
"HP%";15;{"enchanted":false,"gvalue":0};"DEF%";12;{"enchanted":false,"gvalue":0};"CRate";4;{"enchanted":false,"gvalue":0};"RES";20;{"enchanted":false,"gvalue":0};"row_17";17;73070607984;0;0;"Inventory";"Inventory";false;87.54;"Energy";3;6;12;"DEF flat";118;"CDmg";5;0;20;"-";"-";"-";"-";12;"-";15;"-";"-";4;"Legend";87.54
"RES";6;{"enchanted":false,"gvalue":0};"SPD";5;{"enchanted":false,"gvalue":0};"DEF%";26;{"enchanted":false,"gvalue":0};"ATK%";15;{"enchanted":false,"gvalue":0};"row_18";18;61317841173;0;0;"Inventory";"Inventory";false;86.85;"Energy";4;6;15;"CRate";58;"DEF flat";18;0;6;"-";"-";"-";15;26;"-";"-";"-";5;"-";"Legend";86.85
"DEF%";22;{"enchanted":false,"gvalue":0};"ATK%";10;{"enchanted":false,"gvalue":0};"CDmg";5;{"enchanted":false,"gvalue":0};"ACC";5;{"enchanted":false,"gvalue":0};"row_19";19;68718839468;0;0;"Inventory";"Inventory";false;80.1;"Energy";4;6;15;"CRate";58;"RES";7;0;"-";5;"-";5;10;22;"-";"-";"-";"-";"-";"Hero";80.1
"HP flat";291;{"enchanted":false,"gvalue":0};"SPD";14;{"enchanted":false,"gvalue":0};"DEF%";22;{"enchanted":false,"gvalue":0};"DEF flat";12;{"enchanted":false,"gvalue":0};"row_20";20;68828780531;0;0;"Inventory";"Inventory";false;84.08;"Energy";4;6;15;"CRate";58;"HP%";8;0;"-";"-";"-";"-";"-";22;12;"-";291;14;"-";"Legend";84.08
"SPD";11;{"enchanted":false,"gvalue":0};"HP%";22;{"enchanted":false,"gvalue":0};"ATK%";5;{"enchanted":false,"gvalue":0};"DEF%";8;{"enchanted":false,"gvalue":0};"row_21";21;72278251210;0;0;"Inventory";"Inventory";false;80.06;"Energy";4;6;12;"CRate";43;"";0;0;"-";"-";"-";"-";5;8;"-";22;"-";11;"-";"Hero";80.06
"HP flat";315;{"enchanted":false,"gvalue":0};"ACC";7;{"enchanted":false,"gvalue":0};"CRate";20;{"enchanted":false,"gvalue":0};"ATK%";11;{"enchanted":true,"gvalue":0};"row_22";22;72373041196;0;0;"Inventory";"Inventory";false;78.6;"Energy";4;6;12;"CDmg";59;"";0;0;"-";"-";"-";7;11;"-";"-";"-";315;"-";20;"Hero";78.6
"CRate";7;{"enchanted":false,"gvalue":0};"ATK%";7;{"enchanted":false,"gvalue":0};"ACC";20;{"enchanted":false,"gvalue":0};"SPD";14;{"enchanted":false,"gvalue":0};"row_23";23;72397821299;0;0;"Inventory";"Inventory";true;84.82;"Energy";4;6;12;"HP%";47;"";0;0;"-";"-";"-";20;7;"-";"-";"-";"-";14;7;"Legend";84.82
"HP%";11;{"enchanted":true,"gvalue":0};"SPD";5;{"enchanted":false,"gvalue":0};"RES";26;{"enchanted":false,"gvalue":0};"ATK%";8;{"enchanted":false,"gvalue":0};"row_24";24;72508940691;0;0;"Inventory";"Inventory";false;81.85;"Energy";4;6;12;"DEF%";47;"";0;0;26;"-";"-";"-";8;"-";"-";11;"-";5;"-";"Hero";81.85
"ACC";7;{"enchanted":false,"gvalue":0};"RES";6;{"enchanted":false,"gvalue":0};"SPD";24;{"enchanted":false,"gvalue":0};"ATK flat";14;{"enchanted":false,"gvalue":0};"row_25";25;73178115616;0;0;"Inventory";"Inventory";true;78.39;"Energy";4;6;12;"HP%";47;"";0;0;6;"-";14;7;"-";"-";"-";"-";"-";24;"-";"Hero";78.39
"ATK%";13;{"enchanted":false,"gvalue":0};"SPD";11;{"enchanted":false,"gvalue":0};"HP%";15;{"enchanted":false,"gvalue":0};"CRate";6;{"enchanted":false,"gvalue":0};"row_26";26;72382089250;0;0;"Inventory";"Inventory";false;85.42;"Energy";5;6;12;"HP flat";1800;"DEF%";5;0;"-";"-";"-";"-";13;"-";"-";15;"-";11;6;"Hero";85.42
"ACC";14;{"enchanted":false,"gvalue":0};"SPD";14;{"enchanted":false,"gvalue":0};"ATK%";8;{"enchanted":false,"gvalue":0};"HP%";11;{"enchanted":false,"gvalue":0};"row_27";27;72562990889;0;0;"Inventory";"Inventory";false;88.99;"Energy";5;6;12;"HP flat";1800;"CRate";6;0;"-";"-";"-";14;8;"-";"-";11;"-";14;"-";"Legend";88.99
"ATK%";15;{"enchanted":false,"gvalue":0};"DEF%";10;{"enchanted":false,"gvalue":0};"HP%";25;{"enchanted":false,"gvalue":0};"RES";4;{"enchanted":false,"gvalue":0};"row_28";28;72606770924;0;0;"Inventory";"Inventory";true;83.93;"Energy";5;6;12;"HP flat";1800;"";0;0;4;"-";"-";"-";15;10;"-";25;"-";"-";"-";"Hero";83.93
"CRate";21;{"enchanted":false,"gvalue":0};"ATK%";13;{"enchanted":false,"gvalue":0};"SPD";5;{"enchanted":false,"gvalue":0};"CDmg";8;{"enchanted":true,"gvalue":0};"row_29";29;72827191437;0;0;"Inventory";"Inventory";false;86.44;"Energy";5;6;12;"HP flat";1800;"";0;0;"-";8;"-";"-";13;"-";"-";"-";"-";5;21;"Legend";86.44
"DEF%";22;{"enchanted":false,"gvalue":0};"SPD";5;{"enchanted":false,"gvalue":0};"HP%";5;{"enchanted":false,"gvalue":0};"CRate";17;{"enchanted":false,"gvalue":0};"row_30";30;72926853684;0;0;"Inventory";"Inventory";false;86.01;"Energy";5;6;12;"HP flat";1800;"";0;0;"-";"-";"-";"-";"-";22;"-";5;"-";5;17;"Legend";86.01
"CDmg";22;{"enchanted":false,"gvalue":0};"RES";5;{"enchanted":false,"gvalue":0};"CRate";11;{"enchanted":false,"gvalue":0};"SPD";5;{"enchanted":false,"gvalue":0};"row_31";31;73049592186;0;0;"Inventory";"Inventory";false;81.68;"Energy";5;6;12;"HP flat";1800;"";0;0;5;22;"-";"-";"-";"-";"-";"-";"-";5;11;"Legend";81.68
"DEF flat";21;{"enchanted":false,"gvalue":0};"ATK%";8;{"enchanted":false,"gvalue":0};"DEF%";37;{"enchanted":false,"gvalue":0};"SPD";5;{"enchanted":false,"gvalue":0};"row_32";32;73110052312;0;0;"Inventory";"Inventory";true;90.7;"Energy";5;6;15;"HP flat";2448;"CDmg";5;0;"-";"-";"-";"-";8;37;21;"-";"-";5;"-";"Legend";90.7
"DEF flat";28;{"enchanted":false,"gvalue":0};"HP flat";562;{"enchanted":false,"gvalue":0};"ATK%";8;{"enchanted":false,"gvalue":0};"ACC";8;{"enchanted":false,"gvalue":0};"row_33";33;51072485127;0;0;"Inventory";"Inventory";false;60.35;"Energy";6;6;15;"HP%";63;"";0;0;"-";"-";"-";8;8;"-";28;"-";562;"-";"-";"Rare";60.35
"CDmg";7;{"enchanted":false,"gvalue":0};"SPD";14;{"enchanted":false,"gvalue":4};"ACC";20;{"enchanted":false,"gvalue":0};"HP%";18;{"enchanted":true,"gvalue":7};"row_34";34;61095849509;0;0;"Inventory";"Inventory";false;93.45;"Energy";6;6;15;"DEF%";63;"";0;0;"-";7;"-";20;"-";"-";"-";18;"-";14;"-";"Hero";93.45
"SPD";10;{"enchanted":false,"gvalue":0};"CRate";10;{"enchanted":false,"gvalue":0};"CDmg";11;{"enchanted":false,"gvalue":0};"HP%";11;{"enchanted":true,"gvalue":0};"row_35";35;72508940711;0;0;"Inventory";"Inventory";false;80.57;"Energy";6;6;15;"DEF%";63;"";0;0;"-";11;"-";"-";"-";"-";"-";11;"-";10;10;"Hero";80.57
"SPD";6;{"enchanted":false,"gvalue":0};"CDmg";22;{"enchanted":false,"gvalue":0};"DEF%";7;{"enchanted":false,"gvalue":0};"CRate";7;{"enchanted":true,"gvalue":0};"row_36";36;72775747909;0;0;"Inventory";"Inventory";false;79.89;"Energy";6;6;12;"ATK%";47;"";0;0;"-";22;"-";"-";"-";7;"-";"-";"-";6;7;"Hero";79.89
"HP%";7;{"enchanted":false,"gvalue":0};"ATK flat";15;{"enchanted":false,"gvalue":0};"RES";12;{"enchanted":false,"gvalue":0};"SPD";22;{"enchanted":false,"gvalue":0};"row_37";37;73203836866;0;0;"Inventory";"Inventory";false;83.49;"Energy";6;6;12;"ACC";48;"HP flat";204;0;12;"-";15;"-";"-";"-";"-";7;"-";22;"-";"Legend";83.49
"SPD";10;{"enchanted":false,"gvalue":0};"CDmg";14;{"enchanted":false,"gvalue":0};"DEF%";24;{"enchanted":false,"gvalue":0};"CRate";6;{"enchanted":false,"gvalue":0};"row_38";38;72455242786;0;0;"Inventory";"Inventory";true;90.48;"Guard";2;6;15;"ATK%";63;"";0;0;"-";14;"-";"-";"-";24;"-";"-";"-";10;6;"Legend";90.48
"CRate";18;{"enchanted":false,"gvalue":0};"SPD";11;{"enchanted":false,"gvalue":0};"HP flat";222;{"enchanted":false,"gvalue":0};"DEF%";8;{"enchanted":false,"gvalue":0};"row_39";39;72779615637;0;0;"Inventory";"Inventory";true;85.75;"Guard";2;6;12;"ATK%";47;"HP%";7;0;"-";"-";"-";"-";"-";8;"-";"-";222;11;18;"Hero";85.75
"DEF%";6;{"enchanted":false,"gvalue":0};"CRate";21;{"enchanted":false,"gvalue":0};"SPD";8;{"enchanted":true,"gvalue":0};"ACC";12;{"enchanted":false,"gvalue":0};"row_40";40;68970959359;0;0;"Inventory";"Inventory";false;92.43;"Guard";3;6;12;"DEF flat";118;"CDmg";6;0;"-";"-";"-";12;"-";6;"-";"-";"-";8;21;"Legend";92.43
"SPD";18;{"enchanted":false,"gvalue":0};"DEF%";7;{"enchanted":false,"gvalue":0};"RES";15;{"enchanted":false,"gvalue":0};"HP%";15;{"enchanted":false,"gvalue":0};"row_41";41;72556432718;0;0;"Inventory";"Inventory";true;90.18;"Guard";3;6;12;"DEF flat";118;"";0;0;15;"-";"-";"-";"-";7;"-";15;"-";18;"-";"Legend";90.18
"HP%";19;{"enchanted":false,"gvalue":0};"CRate";15;{"enchanted":false,"gvalue":0};"SPD";6;{"enchanted":false,"gvalue":0};"DEF%";11;{"enchanted":true,"gvalue":0};"row_42";42;72712286210;0;0;"Inventory";"Inventory";false;88.8;"Guard";3;6;12;"DEF flat";118;"HP flat";137;0;"-";"-";"-";"-";"-";11;"-";19;"-";6;15;"Legend";88.8
"SPD";15;{"enchanted":false,"gvalue":0};"CDmg";7;{"enchanted":false,"gvalue":0};"DEF%";23;{"enchanted":false,"gvalue":0};"CRate";6;{"enchanted":false,"gvalue":0};"row_43";43;73109549772;0;0;"Inventory";"Inventory";true;88.39;"Guard";3;6;12;"DEF flat";118;"";0;0;"-";7;"-";"-";"-";23;"-";"-";"-";15;6;"Legend";88.39
"SPD";16;{"enchanted":false,"gvalue":0};"CDmg";6;{"enchanted":false,"gvalue":0};"ATK%";16;{"enchanted":false,"gvalue":0};"RES";5;{"enchanted":false,"gvalue":0};"row_44";44;72040304475;0;0;"Inventory";"Inventory";false;79.63;"Guard";4;6;12;"CRate";43;"";0;0;5;6;"-";"-";16;"-";"-";"-";"-";16;"-";"Hero";79.63
"ACC";6;{"enchanted":false,"gvalue":0};"RES";18;{"enchanted":false,"gvalue":0};"SPD";18;{"enchanted":false,"gvalue":0};"ATK%";7;{"enchanted":false,"gvalue":0};"row_45";45;72395276076;0;0;"Inventory";"Inventory";true;84.82;"Guard";4;6;15;"HP%";63;"";0;0;18;"-";"-";6;7;"-";"-";"-";"-";18;"-";"Hero";84.82
"SPD";24;{"enchanted":false,"gvalue":0};"HP%";6;{"enchanted":false,"gvalue":0};"ATK flat";22;{"enchanted":false,"gvalue":0};"RES";8;{"enchanted":false,"gvalue":0};"row_46";46;72394490736;0;0;"Inventory";"Inventory";true;80.71;"Guard";5;6;12;"HP flat";1800;"";0;0;8;"-";22;"-";"-";"-";"-";6;"-";24;"-";"Hero";80.71
"CRate";13;{"enchanted":false,"gvalue":0};"HP%";8;{"enchanted":false,"gvalue":0};"ATK%";16;{"enchanted":false,"gvalue":0};"CDmg";6;{"enchanted":false,"gvalue":0};"row_47";47;72353736196;0;0;"Inventory";"Inventory";false;85.88;"Swift";1;6;12;"ATK flat";118;"SPD";6;0;"-";6;"-";"-";16;"-";"-";8;"-";"-";13;"Hero";85.88
"SPD";20;{"enchanted":false,"gvalue":0};"HP flat";272;{"enchanted":false,"gvalue":0};"CRate";5;{"enchanted":false,"gvalue":0};"RES";5;{"enchanted":false,"gvalue":0};"row_48";48;72864217453;0;0;"Inventory";"Inventory";false;77.89;"Swift";1;6;12;"ATK flat";118;"HP%";6;0;5;"-";"-";"-";"-";"-";"-";"-";272;20;5;"Hero";77.89
"ACC";5;{"enchanted":false,"gvalue":0};"ATK%";12;{"enchanted":false,"gvalue":0};"SPD";23;{"enchanted":false,"gvalue":0};"HP flat";249;{"enchanted":false,"gvalue":0};"row_49";49;72990098532;0;0;"Inventory";"Inventory";false;80.65;"Swift";1;6;12;"ATK flat";118;"";0;0;"-";"-";"-";5;12;"-";"-";"-";249;23;"-";"Legend";80.65
"ATK%";16;{"enchanted":false,"gvalue":0};"HP%";14;{"enchanted":false,"gvalue":0};"CDmg";6;{"enchanted":false,"gvalue":0};"SPD";17;{"enchanted":false,"gvalue":0};"row_50";50;73155573963;0;0;"Inventory";"Inventory";false;88.86;"Swift";1;6;12;"ATK flat";118;"";0;0;"-";6;"-";"-";16;"-";"-";14;"-";17;"-";"Legend";88.86
"CRate";5;{"enchanted":false,"gvalue":0};"ATK%";13;{"enchanted":true,"gvalue":0};"HP%";12;{"enchanted":false,"gvalue":0};"CDmg";21;{"enchanted":false,"gvalue":0};"row_51";51;72693150284;0;0;"Inventory";"Inventory";false;85.42;"Swift";2;6;15;"SPD";42;"";0;0;"-";21;"-";"-";13;"-";"-";12;"-";"-";5;"Legend";85.42
"CDmg";12;{"enchanted":false,"gvalue":0};"DEF%";12;{"enchanted":false,"gvalue":0};"CRate";6;{"enchanted":true,"gvalue":0};"ATK%";19;{"enchanted":false,"gvalue":0};"row_52";52;72934105073;0;0;"Inventory";"Inventory";false;86.35;"Swift";2;6;12;"SPD";31;"ACC";4;0;"-";12;"-";"-";19;12;"-";"-";"-";"-";6;"Legend";86.35
"HP%";14;{"enchanted":false,"gvalue":0};"CDmg";13;{"enchanted":false,"gvalue":0};"CRate";9;{"enchanted":false,"gvalue":0};"ATK%";16;{"enchanted":false,"gvalue":0};"row_53";53;73203836840;0;0;"Inventory";"Inventory";false;90.05;"Swift";2;6;12;"SPD";31;"ACC";4;0;"-";13;"-";"-";16;"-";"-";14;"-";"-";9;"Legend";90.05
"CDmg";4;{"enchanted":false,"gvalue":0};"ATK flat";17;{"enchanted":false,"gvalue":0};"HP%";23;{"enchanted":false,"gvalue":0};"RES";12;{"enchanted":false,"gvalue":0};"row_54";54;73213912909;0;0;"Inventory";"Inventory";false;78.55;"Swift";2;6;12;"SPD";31;"ACC";5;0;12;4;17;"-";"-";"-";"-";23;"-";"-";"-";"Legend";78.55
"DEF%";16;{"enchanted":false,"gvalue":0};"ACC";7;{"enchanted":false,"gvalue":0};"RES";12;{"enchanted":false,"gvalue":0};"SPD";17;{"enchanted":false,"gvalue":0};"row_55";55;72279327450;0;0;"Inventory";"Inventory";false;87.2;"Swift";3;6;12;"DEF flat";118;"";0;0;12;"-";"-";7;"-";16;"-";"-";"-";17;"-";"Legend";87.2
"DEF%";30;{"enchanted":false,"gvalue":7};"CRate";16;{"enchanted":false,"gvalue":0};"RES";5;{"enchanted":false,"gvalue":0};"HP%";6;{"enchanted":false,"gvalue":0};"row_56";56;72333799066;0;0;"Inventory";"Inventory";false;91.37;"Swift";3;6;12;"DEF flat";118;"";0;0;5;"-";"-";"-";"-";30;"-";6;"-";"-";16;"Legend";91.37
"ACC";8;{"enchanted":false,"gvalue":0};"HP%";20;{"enchanted":false,"gvalue":0};"SPD";10;{"enchanted":false,"gvalue":0};"CDmg";12;{"enchanted":false,"gvalue":0};"row_57";57;72373379051;0;0;"Inventory";"Inventory";false;90.82;"Swift";3;6;12;"DEF flat";118;"CRate";5;0;"-";12;"-";8;"-";"-";"-";20;"-";10;"-";"Legend";90.82
"HP%";7;{"enchanted":false,"gvalue":0};"SPD";15;{"enchanted":false,"gvalue":0};"HP flat";245;{"enchanted":false,"gvalue":0};"CDmg";17;{"enchanted":false,"gvalue":0};"row_58";58;72388913499;0;0;"Inventory";"Inventory";false;85.75;"Swift";3;6;12;"DEF flat";118;"ACC";7;0;"-";17;"-";"-";"-";"-";"-";7;245;15;"-";"Legend";85.75
"CRate";16;{"enchanted":false,"gvalue":0};"ACC";6;{"enchanted":false,"gvalue":0};"SPD";16;{"enchanted":false,"gvalue":0};"RES";4;{"enchanted":false,"gvalue":0};"row_59";59;72573191690;0;0;"Inventory";"Inventory";false;85.9;"Swift";3;6;12;"DEF flat";118;"HP flat";332;0;4;"-";"-";6;"-";"-";"-";"-";"-";16;16;"Legend";85.9
"CRate";12;{"enchanted":false,"gvalue":0};"SPD";18;{"enchanted":false,"gvalue":0};"HP%";8;{"enchanted":false,"gvalue":0};"CDmg";7;{"enchanted":true,"gvalue":0};"row_60";60;72673664786;0;0;"Inventory";"Inventory";false;85.71;"Swift";3;6;12;"DEF flat";118;"";0;0;"-";7;"-";"-";"-";"-";"-";8;"-";18;12;"Hero";85.71
"HP%";7;{"enchanted":false,"gvalue":0};"SPD";20;{"enchanted":false,"gvalue":0};"ACC";7;{"enchanted":false,"gvalue":0};"HP flat";174;{"enchanted":false,"gvalue":0};"row_61";61;72748629823;0;0;"Inventory";"Inventory";false;73.68;"Swift";3;6;12;"DEF flat";118;"";0;0;"-";"-";"-";7;"-";"-";"-";7;174;20;"-";"Hero";73.68
"HP%";13;{"enchanted":false,"gvalue":0};"DEF%";5;{"enchanted":false,"gvalue":0};"RES";7;{"enchanted":false,"gvalue":0};"SPD";19;{"enchanted":false,"gvalue":0};"row_62";62;62659053458;0;0;"Inventory";"Inventory";false;80.65;"Swift";4;6;15;"CRate";58;"";0;0;7;"-";"-";"-";"-";5;"-";13;"-";19;"-";"Legend";80.65
"DEF%";7;{"enchanted":false,"gvalue":0};"HP%";20;{"enchanted":false,"gvalue":0};"ATK%";13;{"enchanted":false,"gvalue":0};"RES";8;{"enchanted":false,"gvalue":0};"row_63";63;72354506780;0;0;"Inventory";"Inventory";false;85.71;"Swift";4;6;12;"CDmg";59;"CRate";6;0;8;"-";"-";"-";13;7;"-";20;"-";"-";"-";"Hero";85.71
"ATK%";12;{"enchanted":false,"gvalue":0};"RES";19;{"enchanted":false,"gvalue":0};"HP%";10;{"enchanted":false,"gvalue":0};"DEF%";7;{"enchanted":false,"gvalue":0};"row_64";64;72401426336;0;0;"Inventory";"Inventory";false;78.57;"Swift";4;6;12;"CDmg";59;"";0;0;19;"-";"-";"-";12;7;"-";10;"-";"-";"-";"Legend";78.57
"CRate";4;{"enchanted":false,"gvalue":0};"HP flat";548;{"enchanted":false,"gvalue":0};"DEF flat";15;{"enchanted":false,"gvalue":0};"SPD";20;{"enchanted":false,"gvalue":0};"row_65";65;72787041479;0;0;"Inventory";"Inventory";false;77.54;"Swift";4;6;12;"DEF%";47;"HP%";6;0;"-";"-";"-";"-";"-";"-";15;"-";548;20;4;"Legend";77.54
"DEF flat";15;{"enchanted":false,"gvalue":0};"SPD";26;{"enchanted":false,"gvalue":5};"DEF%";5;{"enchanted":false,"gvalue":0};"CDmg";5;{"enchanted":false,"gvalue":0};"row_66";66;60207261167;0;0;"Inventory";"Inventory";false;84.27;"Swift";4;6;15;"HP%";63;"ACC";6;0;"-";5;"-";"-";"-";5;15;"-";"-";26;"-";"Hero";84.27
"DEF%";8;{"enchanted":false,"gvalue":0};"CRate";23;{"enchanted":false,"gvalue":0};"CDmg";6;{"enchanted":false,"gvalue":0};"ATK%";8;{"enchanted":false,"gvalue":0};"row_67";67;72353794156;0;0;"Inventory";"Inventory";false;89.75;"Swift";5;6;12;"HP flat";1800;"RES";7;0;"-";6;"-";"-";8;8;"-";"-";"-";"-";23;"Hero";89.75
"DEF flat";11;{"enchanted":false,"gvalue":0};"SPD";19;{"enchanted":false,"gvalue":0};"ACC";5;{"enchanted":false,"gvalue":0};"HP%";5;{"enchanted":false,"gvalue":0};"row_68";68;73390981897;0;0;"Inventory";"Inventory";false;69.23;"Swift";5;6;12;"HP flat";1800;"";0;0;"-";"-";"-";5;"-";"-";11;5;"-";19;"-";"Hero";69.23
"HP%";21;{"enchanted":false,"gvalue":0};"SPD";10;{"enchanted":false,"gvalue":0};"ATK%";6;{"enchanted":false,"gvalue":0};"DEF%";7;{"enchanted":false,"gvalue":0};"row_69";69;65267139543;0;0;"Inventory";"Inventory";false;77.98;"Swift";6;6;12;"ACC";48;"";0;0;"-";"-";"-";"-";6;7;"-";21;"-";10;"-";"Hero";77.98
